state,percentages
IL,15.460288808664261
NY,15.412558380902958
LA,15.86303284416492
TN,15.727124183006536
NV,15.795090715048026
IN,15.145005370569281
WI,16.443745082612114
AR,16.356877323420075
DE,16.793893129770993
DC,17.760617760617762
